shipping date (DateOrders),YEAR,Month,Day
2/1/2018 4:33:00 AM,2018,2,1
4/1/2017 1:55:00 PM,2017,4,1
8/1/2016 1:54:00 PM,2016,8,1
7/2/2016 11:08:00 AM,2016,7,2
1/3/2018 1:11:00 PM,2018,1,3
6/3/2015 10:44:00 PM,2015,6,3
8/4/2016 2:10:00 AM,2016,8,4
3/5/2015 4:01:00 PM,2015,3,5
3/6/2015 9:01:00 AM,2015,3,6
3/6/2017 8:47:00 PM,2017,3,6
1/7/2016 7:48:00 PM,2016,1,7
4/7/2016 4:21:00 PM,2016,4,7
6/7/2015 3:43:00 PM,2015,6,7
7/7/2017 5:38:00 PM,2017,7,7
12/7/2015 2:14:00 PM,2015,12,7
6/9/2017 4:11:00 AM,2017,6,9
8/9/2015 7:13:00 AM,2015,8,9
9/9/2017 5:27:00 AM,2017,9,9
1/10/2015 9:58:00 AM,2015,1,10
7/10/2015 2:11:00 AM,2015,7,10
2/11/2015 6:25:00 PM,2015,2,11
1/12/2017 3:47:00 PM,2017,1,12
4/13/2015 6:20:00 AM,2015,4,13
6/13/2015 12:54:00 PM,2015,6,13
8/13/2017 5:45:00 PM,2017,8,13
10/13/2017 12:15:00 PM,2017,10,13
1/14/2015 3:34:00 PM,2015,1,14
2/14/2016 6:26:00 AM,2016,2,14
9/14/2015 6:49:00 AM,2015,9,14
11/14/2017 8:00:00 AM,2017,11,14
5/15/2016 5:05:00 AM,2016,5,15
4/16/2015 9:40:00 AM,2015,4,16
4/17/2017 8:02:00 PM,2017,4,17
12/17/2015 11:57:00 AM,2015,12,17
9/18/2016 11:23:00 AM,2016,9,18
1/19/2016 10:19:00 AM,2016,1,19
4/19/2015 6:14:00 AM,2015,4,19
4/19/2017 7:45:00 AM,2017,4,19
1/20/2017 3:51:00 AM,2017,1,20
6/21/2015 9:34:00 AM,2015,6,21
1/23/2016 9:10:00 AM,2016,1,23
10/23/2017 2:30:00 PM,2017,10,23
1/25/2017 12:31:00 AM,2017,1,25
8/25/2016 2:19:00 AM,2016,8,25
9/25/2017 10:46:00 PM,2017,9,25
10/25/2016 2:50:00 PM,2016,10,25
11/26/2016 5:25:00 PM,2016,11,26
5/27/2015 3:39:00 AM,2015,5,27
5/28/2017 6:39:00 AM,2017,5,28
8/28/2016 9:13:00 PM,2016,8,28
12/28/2015 12:43:00 AM,2015,12,28
4/29/2016 9:29:00 AM,2016,4,29
6/29/2016 11:04:00 PM,2016,6,29
9/30/2017 11:07:00 PM,2017,9,30
5/31/2016 1:38:00 PM,2016,5,31
8/1/2016 1:59:00 AM,2016,8,1
11/1/2015 3:25:00 AM,2015,11,1
8/2/2017 8:34:00 PM,2017,8,2
11/3/2017 4:40:00 AM,2017,11,3
2/4/2016 7:56:00 PM,2016,2,4
6/5/2016 6:01:00 PM,2016,6,5
7/5/2016 2:12:00 AM,2016,7,5
8/5/2017 9:53:00 AM,2017,8,5
1/6/2017 11:09:00 PM,2017,1,6
1/6/2018 8:16:00 AM,2018,1,6
10/6/2015 2:51:00 AM,2015,10,6
11/6/2015 11:44:00 AM,2015,11,6
2/7/2016 4:20:00 AM,2016,2,7
6/7/2015 3:59:00 AM,2015,6,7
1/8/2015 2:52:00 PM,2015,1,8
7/8/2016 12:37:00 PM,2016,7,8
11/8/2015 4:07:00 AM,2015,11,8
